objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
collec01,Accessibility Review of an OER LIS 638.pdf,,Accessibility Review of an OER,pdf,,Odelys Morales,,2025,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec02,Action Research Proposal.pdf,,Action Research Proposal,pdf,,Odelys Morales,,2024,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec03,Annotated Bibliography LIS 681.pdf,,Annotated Bibliography,pdf,,Odelys Morales,,2024,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec04,Bibliographic description 2.docx,,Bibliographic description,pdf,,Odelys Morales,,2025,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec05,LIS 681 Final Paper.pdf,,LIS 681 Final Paper,pdf,,Odelys Morales,,2024,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec06,LRM and RDA assignment.pdf,,LRM and RDA assignment,pdf,,Odelys Morales,,2025,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec07,Prospectus LIS 681 .pdf,,Prospectus LIS 681,pdf,,Odelys Morales,,2024,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collect08,Reflection Paper (1).pdf,,Reflection Paper,pdf,,Odelys Morales,,2024,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec09,Reflective Essay LIS 658 Spring 2025.pdf,,Reflective Essay LIS 658,pdf,,Odelys Morales,,2025,,,"education, academic","Greensboro, NC",,,,,,,,,,,,eng,
collec10,bibliographic records assignment.docx,,bibliographic records assignment,pdf,,Odelys Morales,,2025,,,"education, academic","Greensboro, NC",,,,,,,,,,,,,
