objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
collec01,Accessibility Review of an OER LIS 638.pdf,,Accessibility Review of an OER,,,Odelys Morales,,2025,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec02,Action Research Proposal.pdf,,Action Research Proposal,,,Odelys Morales,,2024,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec03,Annotated Bibliography LIS 681.pdf,,Annotated Bibliography,,,Odelys Morales,,2024,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec04,Bibliographic description 2.docx,,Bibliographic description,,,Odelys Morales,,2025,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec05,LIS 681 Final Paper.pdf,,LIS 681 Final Paper,,,Odelys Morales,,2024,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec06,LRM and RDA assignment.pdf,,LRM and RDA assignment,,,Odelys Morales,,2025,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec07,Prospectus LIS 681 .pdf,,Prospectus LIS 681,,,Odelys Morales,,2024,,,education,"Greensboro, NC",,,,,,,,,,,,,
collect08,Reflection Paper (1).pdf,,Reflection Paper,,,Odelys Morales,,2024,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec09,Reflective Essay LIS 658 Spring 2025.pdf,,Reflective Essay LIS 658,,,Odelys Morales,,2025,,,education,"Greensboro, NC",,,,,,,,,,,,,
collec10,bibliographic records assignment.docx,,bibliographic records assignment,,,Odelys Morales,,2025,,,education,"Greensboro, NC",,,,,,,,,,,,,
