objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
collec01,Accessibility Review of an OER LIS 638.pdf,,Accessibility Review of an OER,application/pdf,An accessibility review of an Open Educational Resource,Odelys Morales,,2025,,,graduate education,"Greensboro, NC",,,,,,,,,,,,eng,
collec02,Action Research Proposal.pdf,,Action Research Proposal,application/pdf,A research proposal created in 2024,Odelys Morales,,2024,,,graduate education,"Greensboro, NC",,,,,,,,,,,,eng,
collec03,Annotated Bibliography LIS 681.pdf,,Annotated Bibliography,application/pdf,An annotated bibliography for LIS 681,Odelys Morales,,2024,,,annotated bibliography,"Greensboro, NC",,,,,,,,,,,,eng,
collec04,Bibliographic description 2.docx,,Bibliographic description,application/pdf,A cataloging bibliographic description assignment,Odelys Morales,,2025,,,cataloging,"Greensboro, NC",,,,,,,,,,,,eng,
collec05,LIS 681 Final Paper.pdf,,LIS 681 Final Paper,application/pdf,A final paper for LIS 681,Odelys Morales,,2024,,,graduate education,"Greensboro, NC",,,,,,,,,,,,eng,
collec06,LRM and RDA assignment.pdf,,LRM and RDA assignment,application/pdf,LRM and RDA assignment for a cataloging course,Odelys Morales,,2025,,,cataloging,"Greensboro, NC",,,,,,,,,,,,eng,
collec07,Prospectus LIS 681 .pdf,,Prospectus LIS 681,application/pdf,A prospectus for LIS 681,Odelys Morales,,2024,,,graduate education,"Greensboro, NC",,,,,,,,,,,,eng,
collect08,Reflection Paper (1).pdf,,Reflection Paper,application/pdf,A reflection paper created in 2024 ,Odelys Morales,,2024,,,graduate education,"Greensboro, NC",,,,,,,,,,,,eng,
collec09,Reflective Essay LIS 658 Spring 2025.pdf,,Reflective Essay LIS 658,application/pdf,A reflective assignment for LIS 658,Odelys Morales,,2025,,,graduate education,"Greensboro, NC",,,,,,,,,,,,eng,
collec10,bibliographic records assignment.docx,,bibliographic records assignment,application/pdf,Bibliographic records assignment for a cataloging course,Odelys Morales,,2025,,,cataloging,"Greensboro, NC",,,,,,,,,,,,,
